2025-02-10 15:24:51 | Severity: WARNING | Event: Login Failed | Action: Invalid password for user: GIFTYsup
2025-02-10 15:25:04 | Severity: INFO | Event: Successful Login | Action: User GIFTYsup logged in successfully
2025-02-10 15:25:04 | Severity: INFO | Event: Authenticated Access | Action: User GIFTYsup accessed protected route
2025-02-10 19:33:35 | Severity: WARNING | Event: Login Failed | Action: Invalid username for user: GIFTYSUP 
2025-02-10 19:33:57 | Severity: INFO | Event: Successful Login | Action: User GIFTYsup logged in successfully
2025-02-10 19:33:58 | Severity: INFO | Event: Authenticated Access | Action: User GIFTYsup accessed protected route
2025-02-11 04:49:00 | Severity: INFO | Event: Successful Login | Action: User GIFTYsup logged in successfully
2025-02-11 04:49:01 | Severity: INFO | Event: Authenticated Access | Action: User GIFTYsup accessed protected route
2025-02-11 04:49:11 | Severity: INFO | Event: Authenticated Access | Action: User GIFTYsup accessed protected route
2025-02-11 04:49:11 | Severity: INFO | Event: Hospital Form Accessed | Action: User GIFTYsup accessed add hospital form
2025-02-11 04:49:34 | Severity: INFO | Event: New Hospital Added | Action: Added new hospital: YASHODA, hospital_code: YSH
2025-02-11 04:49:35 | Severity: INFO | Event: Authenticated Access | Action: User GIFTYsup accessed protected route
2025-02-11 04:49:48 | Severity: INFO | Event: Authenticated Access | Action: User GIFTYsup accessed protected route
2025-02-11 04:49:48 | Severity: INFO | Event: Admin Added | Action: Admin created with username: ysh_se_vkumar, hospital_code: YSH, site_code: YSH_SE
2025-02-11 04:49:48 | Severity: INFO | Event: Authenticated Access | Action: User GIFTYsup accessed protected route
2025-02-11 05:45:51 | Severity: INFO | Event: Successful Login | Action: User GIFTYsup logged in successfully
2025-02-11 05:45:53 | Severity: INFO | Event: Authenticated Access | Action: User GIFTYsup accessed protected route
2025-02-11 05:45:59 | Severity: INFO | Event: Authenticated Access | Action: User GIFTYsup accessed protected route
2025-02-11 05:45:59 | Severity: INFO | Event: Hospital Form Accessed | Action: User GIFTYsup accessed add hospital form
2025-02-11 05:51:13 | Severity: INFO | Event: New Hospital Added | Action: Added new hospital: St Mary's Hospital, hospital_code: SMH
2025-02-11 05:51:13 | Severity: INFO | Event: Authenticated Access | Action: User GIFTYsup accessed protected route
2025-02-11 05:52:42 | Severity: INFO | Event: Authenticated Access | Action: User GIFTYsup accessed protected route
2025-02-11 05:52:42 | Severity: INFO | Event: Admin Added | Action: Admin created with username: smh_01_ngreenberg, hospital_code: SMH, site_code: SMH_01
2025-02-11 05:52:42 | Severity: INFO | Event: Authenticated Access | Action: User GIFTYsup accessed protected route
2025-02-11 10:41:28 | Severity: WARNING | Event: Login Failed | Action: Invalid username and password for user: eh_01_arobinson
2025-02-11 10:45:56 | Severity: INFO | Event: Successful Login | Action: User GIFTYsup logged in successfully
2025-02-11 10:45:57 | Severity: INFO | Event: Authenticated Access | Action: User GIFTYsup accessed protected route
2025-02-11 11:47:51 | Severity: INFO | Event: Successful Login | Action: User GIFTYsup logged in successfully
2025-02-11 11:47:51 | Severity: INFO | Event: Authenticated Access | Action: User GIFTYsup accessed protected route
2025-02-11 11:55:38 | Severity: INFO | Event: Successful Login | Action: User GIFTYsup logged in successfully
2025-02-11 11:55:38 | Severity: INFO | Event: Authenticated Access | Action: User GIFTYsup accessed protected route
2025-02-11 11:57:25 | Severity: INFO | Event: Authenticated Access | Action: User GIFTYsup accessed protected route
2025-02-11 11:57:25 | Severity: INFO | Event: Hospital Form Accessed | Action: User GIFTYsup accessed add hospital form
2025-02-11 12:02:46 | Severity: INFO | Event: Authenticated Access | Action: User GIFTYsup accessed protected route
2025-02-11 12:02:46 | Severity: INFO | Event: Hospital Form Accessed | Action: User GIFTYsup accessed add hospital form
2025-02-11 12:04:25 | Severity: INFO | Event: New Hospital Added | Action: Added new hospital: Maple Valley Hospital, hospital_code: MVH
2025-02-11 12:04:26 | Severity: INFO | Event: Authenticated Access | Action: User GIFTYsup accessed protected route
2025-02-11 12:06:25 | Severity: INFO | Event: Authenticated Access | Action: User GIFTYsup accessed protected route
2025-02-11 12:06:25 | Severity: INFO | Event: Admin Added | Action: Admin created with username: mvh01_jlawrence, hospital_code: MVH, site_code: MVH01
2025-02-11 12:06:27 | Severity: INFO | Event: Authenticated Access | Action: User GIFTYsup accessed protected route
2025-02-12 05:45:54 | Severity: INFO | Event: Successful Login | Action: User GIFTYsup logged in successfully
2025-02-12 05:45:55 | Severity: INFO | Event: Authenticated Access | Action: User GIFTYsup accessed protected route
2025-02-12 11:19:31 | Severity: INFO | Event: Successful Login | Action: User GIFTYsup logged in successfully
2025-02-12 11:19:32 | Severity: INFO | Event: Authenticated Access | Action: User GIFTYsup accessed protected route
2025-02-12 11:19:37 | Severity: INFO | Event: Authenticated Access | Action: User GIFTYsup accessed protected route
2025-02-12 11:24:55 | Severity: WARNING | Event: Login Failed | Action: Invalid password for user: GIFTYsup
